client_uuid,is_rider,language_code,signup_timestamp_utc,signup_city_id,first_eats_login_timestamp,first_eats_trip_request_timestamp_utc,lifetime_eats_orders
fbaf4478-ee0b-41ab-8595-ce9304896bb9,FALSE,es-ES,2019-06-22 18:39:00,16,2019-06-22 18:42:00,2019-06-22 19:02:00,1
e4e7254b-4892-467b-a561-f731c88379f5,FALSE,es-ES,2019-04-30 12:57:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
eeb6b29e-b30b-4844-a657-ee239287b035,FALSE,es-ES,2019-03-22 18:54:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
2ccf9418-f31f-415c-a98a-a6b84be134fa,FALSE,es-ES,2019-08-31 17:12:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
35e6b763-a72d-4412-9867-7439207dbac2,TRUE,es,2019-08-09 10:57:00,2033,2019-09-15 20:10:00,2019-09-21 19:30:00,2
8df558a4-e0a3-46a8-a13c-fb91fa2a1633,FALSE,es-ES,2019-05-20 18:52:00,2033,2000-01-01 01:01:00,2019-05-20 19:05:00,0
7895182e-3286-4f97-bf16-257a7a5ef61a,TRUE,es-ES,2019-09-08 18:17:00,1997,2019-09-08 18:21:00,2019-09-08 18:45:00,28
a821ea9e-bbdb-49de-8100-e3f92385d98c,FALSE,es-PE,2019-03-23 21:11:00,144,2019-03-23 21:12:00,2019-03-25 20:35:00,15
567ea657-9eb9-4474-9727-48218ef6f013,FALSE,es-ES,2019-09-29 17:06:00,16,2019-09-29 17:06:00,2019-09-29 17:22:00,1
8ab2612c-7e83-42f1-a384-08481d05fae5,TRUE,es-ES,2019-04-24 16:48:00,2033,2019-04-24 16:49:00,2019-07-18 18:23:00,8
425a20f7-8935-40f4-8e54-7c470127c8fd,FALSE,es-ES,2019-09-07 07:55:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
c6307085-a54c-4b7e-8666-ef7199877376,FALSE,es,2018-07-13 00:58:00,230,2019-06-21 20:20:00,2019-06-23 18:25:00,39
a1ef89eb-b111-41b0-8d22-65ab14b4155b,FALSE,es-ES,2019-05-14 16:00:00,2033,2019-05-14 16:00:00,2019-05-14 18:45:00,17
807e0ed0-5077-4ed8-960c-d6b571b7f2d4,FALSE,es-ES,2019-07-07 19:12:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
9e2d747f-30f7-4e46-8e5b-7b10cc066a05,TRUE,es,2018-12-28 22:50:00,1997,2019-08-19 20:30:00,2019-08-25 21:26:00,32
861e2ee7-c347-4697-a8c4-27e881f22902,FALSE,es,2019-05-01 18:59:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,2
3a2daca0-5565-4763-a76f-89bdae06dc6b,FALSE,es-ES,2019-08-12 18:17:00,2033,2019-08-12 18:44:00,2019-08-12 18:44:00,0
3818361a-77f0-48c7-89b6-02014fcbaae3,FALSE,es-ES,2019-05-15 12:42:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
9f81a390-4b12-455e-ab6f-8d3ce375a508,FALSE,es-ES,2019-06-25 19:08:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
092ed688-9ffc-4706-82b8-cd67212c4b25,FALSE,es-ES,2019-05-22 19:49:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
2bd7a2ea-03f4-424a-ab3b-98a194211448,TRUE,es-ES,2019-05-15 20:54:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
bbd382f4-5874-4bb9-9902-e7d8b4acdbff,FALSE,es,2019-07-04 12:36:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
0fd1cfb5-f1b2-48c0-808f-8e53f554aa5f,FALSE,es-ES,2019-06-29 16:55:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
b1423aa9-496e-493f-896c-a5f9ffcf180a,FALSE,es-ES,2019-09-02 15:08:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
7cabbf61-03d6-436d-9b11-56568c4033ab,FALSE,es,2019-05-26 18:08:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
85a5d4b5-4811-4824-a543-1066a34b1719,TRUE,es-ES,2019-05-08 11:34:00,2033,2019-05-08 11:35:00,2019-05-08 11:38:00,0
3c888791-8abd-40ee-9735-81f521aff5de,TRUE,es-ES,2019-06-30 19:52:00,2038,2019-06-30 19:52:00,2019-07-21 19:41:00,53
078470dc-050b-4959-a757-939551964f41,TRUE,en-GB,2018-06-29 12:15:00,16,2019-09-01 21:33:00,2019-09-11 19:52:00,11
e95acfcc-0531-46a1-8f61-a334210d8cdb,FALSE,es-ES,2019-07-09 14:36:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
17857956-9eee-43b0-a557-bf82bdd95479,FALSE,es-ES,2019-04-27 20:16:00,2033,2000-01-01 01:01:00,2000-01-01 01:01:00,0
07a31b97-5788-4e18-9a69-79f5e7e845a6,FALSE,es,2019-06-25 19:34:00,2028,2019-06-25 19:34:00,2019-06-25 20:04:00,15
47af8792-c1c9-47a2-9a89-f551ae6fbb1f,FALSE,es-ES,2019-06-11 12:06:00,2033,2019-06-11 12:06:00,2019-06-11 12:09:00,23
