city_id,client_uuid,order_uuid,eater_request_timestamp_utc,meal_subtotal_usd
2033,d2a6bc1c-d8ea-445f-9cfc-f3992e217c0b,c3ab808d-9fd8-417b-88e2-b3e5c780697e,2019-07-16 20:28:41,10.094.099.438.095.100
2033,0bc763a1-b3a8-44ec-9e68-93e33c2216ea,7a5ff62a-52ff-44a1-8171-ce81974a388e,2019-05-17 11:48:57,74.866.847.553.009.700
2033,b81c80b9-f871-4911-8ef1-67f725942570,d76fdd60-f855-422f-98a8-7a577c8c2e04,2019-08-07 19:47:33,26.183.059.392.373.600
2033,18e10dd9-7627-4578-874e-d76be8a079f3,fcf096e6-fdb7-4b41-85d5-00842f89315e,2019-08-07 12:38:46,10.570.410.680.029.700
2033,e7a686ab-c73f-4072-a49b-02a60ec8672f,a4d05553-5537-4c12-98b5-4d2f81d5867a,2019-06-28 20:47:49,25.356.901.227.478.600
2033,901d136f-5247-426f-9744-bf843eec316e,a71c9d81-0811-4ac8-8583-f33d372b5917,2019-06-20 17:23:46,4.398.405.296.131.090
2033,165dcce6-eb19-4671-8055-c08b16725613,60589c98-529f-4b05-9809-aad3bb537d40,2019-07-16 13:03:32,17.665.664.677.643.600
2033,3052a75e-c8e4-4f63-a08f-16c3a780c0cd,0e2f228c-a6ee-4ad2-a273-e91c5ee39dc8,2019-08-18 19:21:15,30.166.247.074.872.100
2033,5c38bca6-a80e-477b-ae90-cb9faf461eb7,273d29d9-44c8-49b5-9b26-6a1e67ae6d63,2019-07-10 19:13:40,18.571.565.245.285.300
2033,a28c76f7-92ff-4147-bcf1-583cee8c595d,bb13e860-76dd-48b9-bfd1-7b5b8a9bb488,2019-07-10 20:35:59,18.008.790.540.882.700
2033,995e9a1a-0b34-42e7-a633-0a8dd2c8b606,e2c16856-d617-4972-b3e1-f560f4edcedb,2019-07-10 20:15:23,14.632.142.314.467.200
2033,2200b6d6-6c61-446c-bba4-560587f2d196,e11fe8b0-c8c5-4375-a944-a467cedefb47,2019-05-30 19:25:36,20.046.106.043.900.900
2033,20148199-99ef-4e16-bdf5-2b8645c75e05,eaf8bc28-51ef-4f07-a4b3-01f4340b7a24,2019-06-19 20:40:10,4.379.581.716.257.000
2033,1a09be17-4b52-47c7-8465-0db09db41cb4,264cf539-4afe-44be-b1d2-3a196d27fa12,2019-07-01 18:52:10,13.606.363.939.183.500
2033,8dda0c7f-2b2e-4d9d-90a8-ea0d6b07eb84,ace8a108-0b7a-49ee-bd64-b0c9a2a8d84f,2019-05-14 21:28:18,17.372.591.654.431.100
2033,b89ead79-00ee-49e3-a62a-df8c84cf0ace,dd45605c-ecbc-4aa9-bc81-3a3b010803fb,2019-07-01 17:20:25,12.592.529.566.919.000
2033,82b02fe3-5b2f-4219-86d7-4ba2a4c48736,75d0aacf-43ff-4675-8ad3-0d0e3a9f0c5e,2019-08-07 19:12:50,30.275.914.500.817.400
2033,3a7493d7-904f-446e-8359-450eedd08523,2fb8f693-43c5-4eea-a575-8fa876e26d0c,2019-08-08 19:12:31,22.267.104.549.091.100
2033,4a3a7f87-86bc-4f20-aaef-9b89398a0c62,0c716283-48be-4f50-a082-81ab9368a8d1,2019-09-24 19:56:10,24.220.939.001.767.000
